"sample.date","treatment","replicate","disturbed","fertilized","biomass","year","centered.year","log.biomass","fert.code","dist.code"
"7/30/12","T7","R6","not.disturbed","fert",23.9975,2012,11.9041322314049,3.17794965825555,1,0
"7/30/93","T7","R1","not.disturbed","no.fert",17.6215384615385,1993,-7.0958677685951,2.86912193006412,0,0
"7/30/93","T7","R3","not.disturbed","no.fert",25.162,1993,-7.0958677685951,3.22533491992894,0,0
"7/30/93","T7","R4","not.disturbed","no.fert",11.9492307692308,1993,-7.0958677685951,2.48066690552996,0,0
"7/30/93","T7","R1","not.disturbed","fert",137.204285714286,1993,-7.0958677685951,4.92147095178851,1,0
"7/30/93","T7","R3","not.disturbed","fert",59.1925,1993,-7.0958677685951,4.08079484467502,1,0
"7/30/93","T7","R5","not.disturbed","fert",23.5316666666667,1993,-7.0958677685951,3.15834703179338,1,0
"7/31/03","T7","R1","not.disturbed","no.fert",36.0057894736842,2003,2.9041322314049,3.58367974423962,0,0
"7/31/03","T7","R4","not.disturbed","no.fert",34.0867647058824,2003,2.9041322314049,3.52890917715452,0,0
"7/31/03","T7","R5","not.disturbed","no.fert",29.305,2003,2.9041322314049,3.37775814992839,0,0
"7/31/03","T7","R6","not.disturbed","no.fert",27.5576923076923,2003,2.9041322314049,3.31628170924674,0,0
"7/31/03","T7","R1","not.disturbed","fert",125.537272727273,2003,2.9041322314049,4.83260270832071,1,0
"7/31/03","T7","R4","not.disturbed","fert",80.6707692307692,2003,2.9041322314049,4.39037629442802,1,0
"7/31/03","T7","R5","not.disturbed","fert",51.9183333333333,2003,2.9041322314049,3.9496719712129,1,0
"7/31/03","T7","R6","not.disturbed","fert",170.39,2003,2.9041322314049,5.13808992722715,1,0
"7/9/91","T7","R1","not.disturbed","no.fert",277.083333358333,1991,-9.0958677685951,5.62431830339218,0,0
"7/9/91","T7","R2","not.disturbed","no.fert",278.691358015926,1991,-9.0958677685951,5.63010492581168,0,0
"7/9/91","T7","R3","not.disturbed","no.fert",137.383838406061,1991,-9.0958677685951,4.92277874845992,0,0
"7/9/91","T7","R4","not.disturbed","no.fert",274.944444462778,1991,-9.0958677685951,5.6165690571224,0,0
"7/9/91","T7","R5","not.disturbed","no.fert",70.466666668,1991,-9.0958677685951,4.25513978478695,0,0
"7/9/91","T7","R6","not.disturbed","no.fert",2523.55555566667,1991,-9.0958677685951,7.83342412086062,0,0
"7/9/91","T7","R1","not.disturbed","fert",276.791666652917,1991,-9.0958677685951,5.62326511726762,1,0
"7/9/91","T7","R2","not.disturbed","fert",205.712962961111,1991,-9.0958677685951,5.32648181344391,1,0
"7/9/91","T7","R3","not.disturbed","fert",127.904761923095,1991,-9.0958677685951,4.8512859395031,1,0
"7/9/91","T7","R4","not.disturbed","fert",67.8333333456667,1991,-9.0958677685951,4.21705371639636,1,0
"7/9/91","T7","R5","not.disturbed","fert",108.950617297778,1991,-9.0958677685951,4.69089472725597,1,0
"7/9/91","T7","R6","not.disturbed","fert",108.513888873333,1991,-9.0958677685951,4.68687817283734,1,0
"7/9/91","T7","R1","disturbed","no.fert",128.703703683333,1991,-9.0958677685951,4.85751289183629,0,1
"7/9/91","T7","R2","disturbed","no.fert",281.955555538,1991,-9.0958677685951,5.64174945404205,0,1
"7/9/91","T7","R3","disturbed","no.fert",219.711111108667,1991,-9.0958677685951,5.39231355211569,0,1
"7/9/91","T7","R4","disturbed","no.fert",224.088888868667,1991,-9.0958677685951,5.41204279844725,0,1
"7/9/91","T7","R5","disturbed","no.fert",242.166666666667,1991,-9.0958677685951,5.48962619434223,0,1
"7/9/91","T7","R6","disturbed","no.fert",189.069444442917,1991,-9.0958677685951,5.24211437848834,0,1
"7/9/91","T7","R1","disturbed","fert",333.977777753333,1991,-9.0958677685951,5.81107445709058,1,1
"7/9/91","T7","R2","disturbed","fert",324.476190495238,1991,-9.0958677685951,5.78221216055619,1,1
"7/9/91","T7","R3","disturbed","fert",260.833333311111,1991,-9.0958677685951,5.563881633661,1,1
"7/9/91","T7","R4","disturbed","fert",234.999999987619,1991,-9.0958677685951,5.45958551409147,1,1
"7/9/91","T7","R5","disturbed","fert",389.555555592778,1991,-9.0958677685951,5.96500648824051,1,1
"7/9/91","T7","R6","disturbed","fert",202.04166668,1991,-9.0958677685951,5.3084739468234,1,1
"8/10/95","T7","R1","disturbed","no.fert",19.3657142857143,1995,-5.0958677685951,2.96350419768354,0,1
"8/10/95","T7","R2","disturbed","no.fert",37.9461538461538,1995,-5.0958677685951,3.63616815077816,0,1
"8/10/95","T7","R3","disturbed","no.fert",55.9111111111111,1995,-5.0958677685951,4.02376312805001,0,1
"8/10/95","T7","R4","disturbed","no.fert",112,1995,-5.0958677685951,4.7184988712951,0,1
"8/10/95","T7","R5","disturbed","no.fert",101.666666666667,1995,-5.0958677685951,4.6216994879393,0,1
"8/10/95","T7","R6","disturbed","no.fert",40.8627272727273,1995,-5.0958677685951,3.71021833392479,0,1
"8/10/95","T7","R1","disturbed","fert",77.0377777777778,1995,-5.0958677685951,4.34429592202942,1,1
"8/10/95","T7","R2","disturbed","fert",229.063333333333,1995,-5.0958677685951,5.43399853009163,1,1
"8/10/95","T7","R3","disturbed","fert",142.003333333333,1995,-5.0958677685951,4.95585053150415,1,1
"8/10/95","T7","R4","disturbed","fert",43.7077777777778,1995,-5.0958677685951,3.77752606744962,1,1
"8/10/95","T7","R5","disturbed","fert",183.468,1995,-5.0958677685951,5.21204026536648,1,1
"8/10/95","T7","R6","disturbed","fert",42.3636363636364,1995,-5.0958677685951,3.74629036132728,1,1
"8/11/08","T7","R1","not.disturbed","no.fert",55.5525,2008,7.9041322314049,4.01732851957342,0,0
"8/11/08","T7","R2","not.disturbed","no.fert",46.5423684210526,2008,7.9041322314049,3.84036304658902,0,0
"8/11/08","T7","R3","not.disturbed","no.fert",39.5089473684211,2008,7.9041322314049,3.67652716191251,0,0
"8/11/08","T7","R4","not.disturbed","no.fert",57.5206666666667,2008,7.9041322314049,4.05214430351716,0,0
"8/11/08","T7","R5","not.disturbed","no.fert",42.809,2008,7.9041322314049,3.75674836085576,0,0
"8/11/08","T7","R6","not.disturbed","no.fert",21.1748275862069,2008,7.9041322314049,3.05281309817708,0,0
"8/11/08","T7","R1","not.disturbed","fert",163.102142857143,2008,7.9041322314049,5.09437664784319,1,0
"8/11/08","T7","R2","not.disturbed","fert",183.96375,2008,7.9041322314049,5.21473872733023,1,0
"8/11/08","T7","R3","not.disturbed","fert",145.02375,2008,7.9041322314049,4.9768975221114,1,0
"8/11/08","T7","R4","not.disturbed","fert",49.804,2008,7.9041322314049,3.90809530209017,1,0
"8/11/08","T7","R5","not.disturbed","fert",46.82,2008,7.9041322314049,3.84631046206276,1,0
