"WaterbodyID","Year","doy","CenterLatitude","Temperature","pH","lwTN","lwTP","pa"
101,1973,158,33.49513875,21.9391304347826,6.59130434782609,2.85941439358138,0.63710578967632,1
101,1973,236,33.49513875,29.66,6.6,2.60446588484564,-0.0659261501161668,0
101,1973,302,33.49513875,23.425,6.69375,3.09845807138906,-0.371426065884742,0
103,1973,169,31.4171296666667,26.8,6.83,2.18019144477998,0.393257565000419,0
103,1973,241,31.4171296666667,30.26,7.62,2.22656760657013,-0.28741544133435,0
103,1973,306,31.4171296666667,18.57,7.51,1.96375006718364,-0.299889615559526,0
104,1973,159,34.493784625,24.6588235294118,7.59411764705882,2.43845199149439,0.433537941053016,1
104,1973,228,34.493784625,28.22,7.52,2.43203316018093,0.118049666773814,1
104,1973,294,34.493784625,21.9928571428571,7.87857142857143,2.09034343792977,0.326033324893384,1
105,1973,158,33.2538195,23.1,6.8,2.7007508986206,0.327831113316783,0
105,1973,240,33.2538195,28.05,6.56666666666667,2.72217223632577,-1.40831277479189,0
105,1973,303,33.2538195,21.5444444444444,6.82307692307692,2.74890775054594,-0.608397618806241,0
106,1973,157,33.076852,25.3857142857143,7.02142857142857,2.30558060197384,0.961291158063065,1
106,1973,240,33.076852,29.6357142857143,7.3,2.15059873599616,0.0997806916392681,1
106,1973,303,33.076852,20.6,7.23076923076923,2.21769733365731,0.97249646522051,1
107,1973,77,32.7746031428571,13.5315789473684,7.42105263157895,1.74938290441621,-0.415555317164886,0
107,1973,167,32.7746031428571,23.5155555555556,7.7,1.76558659492403,-0.431412484858656,1
107,1973,236,32.7746031428571,28.7277777777778,6.8125,1.96816075799013,-0.923346817598364,1
107,1973,304,32.7746031428571,20.9193548387097,6.75161290322581,1.42969367665445,-0.424647927524938,1
108,1973,156,32.8569443333333,25.1846153846154,7.06153846153846,2.26910785446783,0.946924200666788,1
108,1973,240,32.8569443333333,29.3153846153846,7.3,2.16686949855468,0.416195026992799,1
108,1973,303,32.8569443333333,21.2076923076923,7.32307692307692,2.06471830012694,0.471540908564622,0
109,1973,159,34.9264815,24.2892857142857,7.58214285714286,2.34276688262688,0.648747248951059,0
109,1973,226,34.9264815,29.3875,7.38,2.37595946279402,0.301289075857998,0
109,1973,294,34.9264815,22.7666666666667,7.60666666666667,2.22570404865809,0.584208843554236,0
112,1973,236,34.1895835,27.45,7.38695652173913,2.34636271533993,0.960514932322809,0
112,1973,302,34.1895835,16.91875,7.3875,2.06702097480437,1.20836303688648,0
114,1973,159,34.8083336666667,24.5133333333333,7.47333333333333,2.29280408113894,0.549199824882883,0
114,1973,227,34.8083336666667,29.1071428571429,7.36666666666667,1.98992703447209,-0.0781417378842919,0
114,1973,294,34.8083336666667,22.8,7.5,2.19499988231411,0.651059504450186,0
115,1973,241,33.464722,28.2777777777778,8.24444444444444,2.90653669474952,0.453690739060995,1
115,1973,305,33.464722,17.9222222222222,8.22222222222222,2.33343755647681,0.553565777442149,1
401,1975,169,33.882361,12.5666666666667,8.05,2.77591651233246,0.0910587309469658,0
401,1975,278,33.882361,15.05,8.55,2.28416650747003,-0.0397808700118446,1
402,1975,62,34.273472,3.33125,8.525,2.49691756245414,0.0851446972849697,0
402,1975,169,34.273472,14.8,7.55,2.1701959049483,0.929460767827494,1
402,1975,278,34.273472,18.7,8.8,1.84792974069511,0.43491602966564,1
403,1975,57,34.4577273636364,8.96808510638298,8.55744680851064,2.23712256786046,-0.603930919042535,0
403,1975,163,34.4577273636364,22.2076923076923,8.27307692307692,2.22470670814989,-0.836543925963391,0
403,1975,323,34.4577273636364,13.4617021276596,8.25851063829787,1.59589987686231,-0.602489975416406,1
404,1975,119,33.8298615,9.844,8.47,2.09777249836456,1.73571807834443,0
404,1975,168,33.8298615,14.7,9.35,2.31401947061971,1.59513612772324,1
404,1975,278,33.8298615,14.95,8.5,2.45573527248772,2.44041037865092,0
405,1975,119,34.3625,10.701,8.58888888888889,1.93922116090452,1.14464722859199,0
405,1975,169,34.3625,15.8545454545455,8.4,1.92385043099058,1.26402399973278,0
